sample_id	i5_tag	i7_tag
I1120	N701	N502
I1121	N701	N502
I1122	N701	N503
I1123	N701	N504
I1124	N701	N505
I1125	N701	N506
I1126	N701	N507
I1127	N701	N508
I1128	N702	N502
I1129	N702	N502
I1130	N702	N503
I1131	N702	N504
I1132	N702	N505
I1133	N702	N506
I1134	N702	N507
I1135	N702	N508
I1136	N703	N502
I1137	N703	N502
I1138	N703	N503
I1139	N703	N504
I1140	N703	N505
I1141	N703	N506
I1142	N703	N507
I1143	N703	N508
I1144	N704	N502
I1145	N704	N502
I1146	N704	N503
I1147	N704	N504
I1148	N704	N505
I1149	N704	N506
I1150	N704	N507
I1151	N704	N508
I1152	N705	N502
I1153	N705	N502
I1154	N705	N503
I1155	N705	N504
I1156	N705	N505
I1157	N705	N506
I1158	N705	N507
I1159	N705	N508
I1160	N706	N502
I1161	N706	N502
I1162	N706	N503
I1163	N706	N504
I1164	N706	N505
I1165	N706	N506
I1166	N706	N507
I1167	N706	N508
I1168	N707	N502
I1169	N707	N502
I1170	N707	N503
I1171	N707	N504
I1172	N707	N505
I1173	N707	N506
I1174	N707	N507
I1175	N707	N508
I1176	N708	N502
I1177	N708	N502
I1178	N708	N503
I1179	N708	N504
I1180	N708	N505
I1181	N708	N506
I1182	N708	N507
I1183	N708	N508
I1184	N709	N502
I1185	N709	N502
I1186	N709	N503
I1187	N709	N504
I1188	N709	N505
I1189	N709	N506
I1190	N709	N507
I1191	N709	N508
I1192	N710	N502
I1193	N710	N502
I1194	N710	N503
I1195	N710	N504
I1196	N710	N505
I1197	N710	N506
I1198	N710	N507
I1199	N710	N508
I1200	N711	N502
I1201	N711	N502
I1202	N711	N503
I1203	N711	N504
I1204	N711	N505
I1205	N711	N506
I1206	N711	N507
I1207	N711	N508
I1208	N712	N502
I1209	N712	N502
I1210	N712	N503
I1211	N712	N504
I1212	N712	N505
I1213	N712	N506
I1214	N712	N507
I1215	N712	N508
I1216	N701	N502
I1217	N701	N502
I1218	N701	N503
I1219	N701	N504
I1220	N701	N505
I1221	N701	N506
I1222	N701	N507
I1223	N701	N508
I1224	N702	N502
I1225	N702	N502
I1226	N702	N503
I1227	N702	N504
I1228	N702	N505
I1229	N702	N506
I1230	N702	N507
I1231	N702	N508
I1232	N703	N502
I1233	N703	N502
I1234	N703	N503
I1235	N703	N504
I1236	N703	N505
I1237	N703	N506
I1238	N703	N507
I1239	N703	N508
I1240	N704	N502
I1241	N704	N502
I1242	N704	N503
I1243	N704	N504
I1244	N704	N505
I1245	N704	N506
I1246	N704	N507
I1247	N704	N508
I1248	N705	N502
I1249	N705	N502
I1250	N705	N503
I1251	N705	N504
I1252	N705	N505
I1253	N705	N506
I1254	N705	N507
I1255	N705	N508
I1256	N706	N502
I1257	N706	N502
I1258	N706	N503
I1259	N706	N504
I1260	N706	N505
I1261	N706	N506
I1262	N706	N507
I1263	N706	N508
I1264	N707	N502
I1265	N707	N502
I1266	N707	N503
I1267	N707	N504
I1268	N707	N505
I1269	N707	N506
I1270	N707	N507
I1271	N707	N508
I1272	N708	N502
I1273	N708	N502
I1274	N708	N503
I1275	N708	N504
I1276	N708	N505
I1277	N708	N506
I1278	N708	N507
I1279	N708	N508
I1280	N709	N502
I1281	N709	N502
I1282	N709	N503
I1283	N709	N504
I1284	N709	N505
I1285	N709	N506
I1286	N709	N507
I1287	N709	N508
I1288	N710	N502
I1289	N710	N502
I1290	N710	N503
I1291	N710	N504
I1292	N710	N505
I1293	N710	N506
I1294	N710	N507
I1295	N710	N508
I1296	N711	N502
I1297	N711	N502
I1298	N711	N503
I1299	N711	N504
I1300	N711	N505
I1301	N711	N506
I1302	N711	N507
I1303	N711	N508
I1304	N712	N502
I1305	N712	N502
I1306	N712	N503
I1307	N712	N505
I1308	N701	N502
I1309	N701	N502
I1310	N701	N503
I1311	N701	N504
I1312	N701	N505
I1313	N701	N506
I1314	N701	N507
I1315	N701	N508
I1316	N702	N502
I1317	N702	N502
I1318	N702	N503
I1319	N702	N504
I1320	N702	N505
I1321	N702	N506
I1322	N702	N507
I1323	N702	N508
I1324	N703	N502
I1325	N703	N502
I1326	N703	N503
I1327	N703	N504
I1328	N703	N505
I1329	N703	N506
I1330	N703	N507
I1331	N703	N508
I1332	N704	N502
I1333	N704	N502
I1334	N704	N503
I1335	N704	N504
I1336	N704	N505
I1337	N704	N506
I1338	N704	N507
I1339	N704	N508
I1340	N705	N502
I1341	N705	N502
I1342	N705	N503
I1343	N705	N504
I1344	N705	N505
I1345	N705	N506
I1346	N705	N507
I1347	N705	N508
I1348	N706	N502
I1349	N706	N502
I1350	N706	N503
I1351	N706	N504
I1352	N706	N505
I1353	N706	N506
I1354	N706	N507
I1355	N706	N508
I1356	N707	N502
I1357	N707	N502
I1358	N707	N503
I1359	N707	N504
I1360	N707	N505
I1361	N707	N506
I1362	N707	N507
I1363	N707	N508
I1364	N708	N502
I1365	N708	N502
I1366	N708	N503
I1367	N708	N504
I1368	N708	N505
I1369	N708	N506
I1370	N708	N507
I1371	N708	N508
I1372	N709	N502
I1373	N709	N502
I1374	N709	N503
I1375	N709	N504
I1376	N709	N505
I1377	N709	N506
I1378	N709	N507
I1379	N709	N508
I1380	N710	N502
I1381	N710	N502
I1382	N710	N503
I1383	N710	N504
I1384	N710	N505
I1385	N710	N506
I1386	N710	N507
I1387	N710	N508
I1388	N712	N502
I1389	N712	N502
I1390	N712	N503
I1391	N712	N504
I1392	N712	N505
I1393	N712	N506
I1394	N712	N507
I1395	N712	N508
I1396	N711	N502
I1397	N711	N502
I1398	N711	N503
I1399	N711	N506
